mode,epoch,train_loss,train_acc,test_loss,test_acc,time
RNN_TANH,1,146.44105061516166,0.9018666666666667,21.485419547185302,0.9728,58.92610646200046
RNN_TANH,2,73.42067397106439,0.9683733333333333,138.5966063272208,0.84928,58.50698347599973
RNN_TANH,3,171.26200718339533,0.87472,120.15624260902405,0.6664,58.67105504099891
RNN_TANH,4,374.13875383138657,0.5970133333333333,136.04184156656265,0.49424,58.693805709001026
RNN_TANH,5,239.95301824063063,0.7743466666666666,39.73208179324865,0.9368,58.76251587099978
RNN_RELU,1,159.6511177404318,0.89488,36.00908025726676,0.96624,59.32266704399808
RNN_RELU,2,25.4862101032719,0.99088,0.09919735134395125,0.99984,62.069549524996546
RNN_RELU,3,0.030057404836130175,1.0,0.011514066883724361,1.0,62.491048073003185
RNN_RELU,4,0.008640920126726126,1.0,0.008706971300581179,1.0,63.09769441400567
RNN_RELU,5,0.004836802070254276,1.0,0.0013682035718383112,1.0,64.08777940100117
GRU,1,94.38274355750764,0.9348266666666667,1.3648322370136157,0.99904,92.03606831499928
GRU,2,3.951291004079394,0.9989333333333333,1.2703053111908957,0.9992,92.08513078100077
GRU,3,2.5953648469003383,0.9994133333333334,1.0873266657144995,0.9992,92.34184667399677
GRU,4,1.6534061071142787,0.9994666666666666,0.5703696467826376,0.9992,92.0206884040017
GRU,5,0.5797909556422383,0.99968,0.01782671335968189,1.0,92.09926157000154
LSTM,1,153.98923666263,0.8834666666666666,4.547748567536473,0.996,96.47941712900501
LSTM,2,5.366691709146835,0.99824,0.5145288918865845,0.9992,96.56829030899826
LSTM,3,0.9814119879592909,0.9994133333333334,0.4181489831971703,0.99952,96.56516096099949
LSTM,4,0.7266057673878095,0.99952,0.1871096823924745,0.9992,96.6676055870048
LSTM,5,0.33912403830072435,0.99968,0.12877474885681295,0.99968,96.40985917999933
