feature,SVM,BayesianRidge,RandomForestRegressor,AdaBoostRegressor
layers,-0.12746571050463884,-0.036913597590239634,0.030452755188059875,0.07607307362093303
nodes,0.021855315598959233,0.02481371857277248,0.014653687195386574,0.00026330060606638073
edges,0.014782169744862366,0.01741170387425489,0.010555471040363374,0.028108366583732582
source_nodes,0.13654021704903194,0.07968495698907228,0.3856326255303685,0.1527341863087808
sink_nodes,0.06711491013128809,0.04620197084032969,0.02264890083685537,0.04852696231330595
diameter,0.005519799792864171,0.003730371727524162,0.005438570847114156,0.006637430729038385
density,0.02428473312720943,0.02341724098062159,0.02922094363156594,0.09187064911753724
average_shortest_path_length,-0.00872529213750493,0.00508989575001223,0.033195646944151835,0.05302409263926103
eccentricity_mean,-0.0073315952902980285,-0.007527470576519701,0.0506130631010189,0.08262567839428431
eccentricity_var,-0.013841382807084808,0.012448765569359838,0.017004713489820984,0.004936803753409105
eccentricity_std,-0.04201805850470887,0.011749882343976559,0.013082399851663224,0.0017877049650586114
degree_mean,0.024284733127209458,0.023417240980621312,0.06360436082174017,0.04056485789377431
degree_var,0.02011890053861646,-0.0018513400488908704,0.023205005119868945,0.031498740915801036
degree_std,-0.00033193204052570265,-0.008337069334524577,0.016276283622599842,0.011455779683853515
closeness_mean,0.025752615452385587,0.0011565482626947343,0.046297379665854996,0.02912193180724649
closeness_var,-0.03465955172516254,0.004153339948747614,0.031237948816985106,0.03641792503690203
closeness_std,-0.04897948048137265,0.008610269897812772,0.020464260572851285,0.002050044102155182
nodes_betweenness_mean,-0.010941561610460119,0.00878528031577308,0.03788922420636934,0.05867374245258956
nodes_betweenness_var,-0.014259989253234625,-0.04017721685613573,0.038480824072503535,0.09661765103561706
nodes_betweenness_std,-0.01684611910589547,-0.022402773109767793,0.04577533801020119,0.04253297189594499
edge_betweenness_mean,-0.04082837615983838,-0.016625702519692087,0.02996523733679703,0.06314659715931745
edge_betweenness_var,0.05140405217012635,0.007211708595156074,0.01477262062039345,0.02121107585988915
edge_betweenness_std,0.0066735205446941896,-0.010717045124547298,0.019532739477466508,0.020120433125501984
